;Argentina;Australia;Brazil;Canada;China;Finland;France;Germany;India;Italy;Japan;Jordan;Kenya;Lebanon;Mexico;Netherlands;NewZealand;Nicaragua;Peru;Philippines;Russia;SouthAfrica;SouthKorea;Spain;Taiwan;Thailand;UnitedKingdom;USA
Argentina;0;13,141699;24,181093;94,546463;74,277757;100,340207;84,643735;89,581788;59,009781;80,288037;74,620921;69,001261;38,392538;72,270818;62,050598;90,54873;2,48446;51,281513;29,22613;51,295818;99,940107;7,856615;74,323854;78,879764;62,113907;54,286129;93,794148;75,506337
Australia;13,141699;0;11,039394;81,404764;61,136058;87,198508;71,502036;76,440089;45,868082;67,146338;61,479222;55,859562;25,250839;59,129119;48,908899;77,407031;15,626159;38,139814;16,084431;38,154119;86,798408;5,285084;61,182155;65,738065;48,972208;41,14443;80,652449;62,364638
Brazil;24,181093;11,039394;0;70,36537;50,096664;76,159114;60,462642;65,400695;34,828688;56,106944;50,439828;44,820168;14,211445;48,089725;37,869505;66,367637;26,665553;27,10042;5,045037;27,114725;75,759014;16,324478;50,142761;54,698671;37,932814;30,105036;69,613055;51,325244
Canada;94,546463;81,404764;70,36537;0;20,268706;5,793744;9,902728;4,964675;35,536682;14,258426;19,925542;25,545202;56,153925;22,275645;32,495865;3,997733;97,030923;43,26495;65,320333;43,250645;5,39364399999999;86,689848;20,222609;15,666699;32,432556;40,260334;0,752315000000003;19,040126
China;74,277757;61,136058;50,096664;20,268706;0;26,06245;10,365978;15,304031;15,267976;6,01028;0,343164000000002;5,276496;35,885219;2,006939;12,227159;16,270973;76,762217;22,996244;45,051627;22,981939;25,66235;66,421142;0,0460969999999961;4,602007;12,16385;19,991628;19,516391;1,22858
Finland;100,340207;87,198508;76,159114;5,793744;26,06245;0;15,696472;10,758419;41,330426;20,05217;25,719286;31,338946;61,947669;28,069389;38,289609;9,791477;102,824667;49,058694;71,114077;49,044389;0,400100000000002;92,483592;26,016353;21,460443;38,2263;46,054078;6,546059;24,83387
France;84,643735;71,502036;60,462642;9,902728;10,365978;15,696472;0;4,938053;25,633954;4,355698;10,022814;15,642474;46,251197;12,372917;22,593137;5,904995;87,128195;33,362222;55,417605;33,347917;15,296372;76,78712;10,319881;5,763971;22,529828;30,357606;9,150413;9,137398
Germany;89,581788;76,440089;65,400695;4,964675;15,304031;10,758419;4,938053;0;30,572007;9,293751;14,960867;20,580527;51,18925;17,31097;27,53119;0,966941999999996;92,066248;38,300275;60,355658;38,28597;10,358319;81,725173;15,257934;10,702024;27,467881;35,295659;4,21236;14,075451
India;59,009781;45,868082;34,828688;35,536682;15,267976;41,330426;25,633954;30,572007;0;21,278256;15,61114;9,99148;20,617243;13,261037;3,040817;31,538949;61,494241;7,728268;29,783651;7,713963;40,930326;51,153166;15,314073;19,869983;3,104126;4,723652;34,784367;16,496556
Italy;80,288037;67,146338;56,106944;14,258426;6,01028;20,05217;4,355698;9,293751;21,278256;0;5,667116;11,286776;41,895499;8,017219;18,237439;10,260693;82,772497;29,006524;51,061907;28,992219;19,65207;72,431422;5,96418300000001;1,408273;18,17413;26,001908;13,506111;4,7817
Japan;74,620921;61,479222;50,439828;19,925542;0,343164000000002;25,719286;10,022814;14,960867;15,61114;5,667116;0;5,61966;36,228383;2,350103;12,570323;15,927809;77,105381;23,339408;45,394791;23,325103;25,319186;66,764306;0,297067000000006;4,258843;12,507014;20,334792;19,173227;0,885415999999999
Jordan;69,001261;55,859562;44,820168;25,545202;5,276496;31,338946;15,642474;20,580527;9,99148;11,286776;5,61966;0;30,608723;3,269557;6,950663;21,547469;71,485721;17,719748;39,775131;17,705443;30,938846;61,144646;5,322593;9,878503;6,887354;14,715132;24,792887;6,505076
Kenya;38,392538;25,250839;14,211445;56,153925;35,885219;61,947669;46,251197;51,18925;20,617243;41,895499;36,228383;30,608723;0;33,87828;23,65806;52,156192;40,876998;12,888975;9,166408;12,90328;61,547569;30,535923;35,931316;40,487226;23,721369;15,893591;55,40161;37,113799
Lebanon;72,270818;59,129119;48,089725;22,275645;2,006939;28,069389;12,372917;17,31097;13,261037;8,017219;2,350103;3,269557;33,87828;0;10,22022;18,277912;74,755278;20,989305;43,044688;20,975;27,669289;64,414203;2,053036;6,608946;10,156911;17,984689;21,52333;3,235519
Mexico;62,050598;48,908899;37,869505;32,495865;12,227159;38,289609;22,593137;27,53119;3,040817;18,237439;12,570323;6,950663;23,65806;10,22022;0;28,498132;64,535058;10,769085;32,824468;10,75478;37,889509;54,193983;12,273256;16,829166;0,0633090000000003;7,764469;31,74355;13,455739
Netherlands;90,54873;77,407031;66,367637;3,997733;16,270973;9,791477;5,904995;0,966941999999996;31,538949;10,260693;15,927809;21,547469;52,156192;18,277912;28,498132;0;93,03319;39,267217;61,3226;39,252912;9,391377;82,692115;16,224876;11,668966;28,434823;36,262601;3,245418;15,042393
NewZealand;2,48446;15,626159;26,665553;97,030923;76,762217;102,824667;87,128195;92,066248;61,494241;82,772497;77,105381;71,485721;40,876998;74,755278;64,535058;93,03319;0;53,765973;31,71059;53,780278;102,424567;10,341075;76,808314;81,364224;64,598367;56,770589;96,278608;77,990797
Nicaragua;51,281513;38,139814;27,10042;43,26495;22,996244;49,058694;33,362222;38,300275;7,728268;29,006524;23,339408;17,719748;12,888975;20,989305;10,769085;39,267217;53,765973;0;22,055383;0,0143050000000002;48,658594;43,424898;23,042341;27,598251;10,832394;3,004616;42,512635;24,224824
Peru;29,22613;16,084431;5,045037;65,320333;45,051627;71,114077;55,417605;60,355658;29,783651;51,061907;45,394791;39,775131;9,166408;43,044688;32,824468;61,3226;31,71059;22,055383;0;22,069688;70,713977;21,369515;45,097724;49,653634;32,887777;25,059999;64,568018;46,280207
Philippines;51,295818;38,154119;27,114725;43,250645;22,981939;49,044389;33,347917;38,28597;7,713963;28,992219;23,325103;17,705443;12,90328;20,975;10,75478;39,252912;53,780278;0,0143050000000002;22,069688;0;48,644289;43,439203;23,028036;27,583946;10,818089;2,990311;42,49833;24,210519
Russia;99,940107;86,798408;75,759014;5,39364399999999;25,66235;0,400100000000002;15,296372;10,358319;40,930326;19,65207;25,319186;30,938846;61,547569;27,669289;37,889509;9,391377;102,424567;48,658594;70,713977;48,644289;0;92,083492;25,616253;21,060343;37,8262;45,653978;6,145959;24,43377
SouthAfrica;7,856615;5,285084;16,324478;86,689848;66,421142;92,483592;76,78712;81,725173;51,153166;72,431422;66,764306;61,144646;30,535923;64,414203;54,193983;82,692115;10,341075;43,424898;21,369515;43,439203;92,083492;0;66,467239;71,023149;54,257292;46,429514;85,937533;67,649722
SouthKorea;74,323854;61,182155;50,142761;20,222609;0,0460969999999961;26,016353;10,319881;15,257934;15,314073;5,96418300000001;0,297067000000006;5,322593;35,931316;2,053036;12,273256;16,224876;76,808314;23,042341;45,097724;23,028036;25,616253;66,467239;0;4,55591;12,209947;20,037725;19,470294;1,182483
Spain;78,879764;65,738065;54,698671;15,666699;4,602007;21,460443;5,763971;10,702024;19,869983;1,408273;4,258843;9,878503;40,487226;6,608946;16,829166;11,668966;81,364224;27,598251;49,653634;27,583946;21,060343;71,023149;4,55591;0;16,765857;24,593635;14,914384;3,373427
Taiwan;62,113907;48,972208;37,932814;32,432556;12,16385;38,2263;22,529828;27,467881;3,104126;18,17413;12,507014;6,887354;23,721369;10,156911;0,0633090000000003;28,434823;64,598367;10,832394;32,887777;10,818089;37,8262;54,257292;12,209947;16,765857;0;7,827778;31,680241;13,39243
Thailand;54,286129;41,14443;30,105036;40,260334;19,991628;46,054078;30,357606;35,295659;4,723652;26,001908;20,334792;14,715132;15,893591;17,984689;7,764469;36,262601;56,770589;3,004616;25,059999;2,990311;45,653978;46,429514;20,037725;24,593635;7,827778;0;39,508019;21,220208
UnitedKingdom;93,794148;80,652449;69,613055;0,752315000000003;19,516391;6,546059;9,150413;4,21236;34,784367;13,506111;19,173227;24,792887;55,40161;21,52333;31,74355;3,245418;96,278608;42,512635;64,568018;42,49833;6,145959;85,937533;19,470294;14,914384;31,680241;39,508019;0;18,287811
USA;75,506337;62,364638;51,325244;19,040126;1,22858;24,83387;9,137398;14,075451;16,496556;4,7817;0,885415999999999;6,505076;37,113799;3,235519;13,455739;15,042393;77,990797;24,224824;46,280207;24,210519;24,43377;67,649722;1,182483;3,373427;13,39243;21,220208;18,287811;0
