,Argentina,Australia,Brazil,Canada,China,Finland,France,Germany,India,Italy,Japan,Jordan,Kenya,Lebanon,Mexico,Netherlands,NewZealand,Nicaragua,Peru,Philippines,Russia,SouthAfrica,SouthKorea,Spain,Taiwan,Thailand,UnitedKingdom,USA
Argentina,13368684,41323,1670917,41873,54904,3788,114586,71506,8109,196090,19088,601,545,843,358143,30628,18103,868,287725,1957,10530,13372,7875,628440,1940,8482,126548,1021465
Australia,39038,57087933,57468,327441,1994188,28049,244537,229959,714491,271605,1007777,13300,19886,61454,33848,124128,3081377,215,30543,385006,27623,154182,347893,134039,256982,761621,1120744,1718365
Brazil,1692752,61220,70911136,199439,127940,11173,448989,298388,30155,476608,76263,2841,1806,14081,329806,115776,17891,1932,330933,21775,27123,95172,34677,378963,6637,27698,299036,2554179
Canada,39998,305642,188690,31802940,1070353,26780,1001890,427880,799685,561822,403914,30872,36395,121629,2496445,257175,86227,15941,107159,368234,65903,66328,240938,378945,165325,125912,1386453,14722639
China,47727,1998652,126314,1088714,563647747,123016,732392,1062578,600188,775881,9723965,33922,74579,22015,94070,228599,456463,917,29363,1807111,1500550,125065,8240734,533785,5575810,10162636,1288079,4631039
Finland,4320,25132,10414,25912,120683,1977042,276486,673588,38523,297315,125182,1685,5395,1964,9217,194272,3797,57,2007,10897,107354,9965,27316,718973,7791,102566,513185,152389
France,107567,234396,428117,1036677,777067,275756,21699704,2570934,325892,5333706,609285,83482,52463,257475,337309,859348,59077,2603,83697,110723,774281,192082,287695,6049962,118307,584365,5799176,4077743
Germany,66724,211381,281057,422308,1012633,673314,2538727,15254539,469399,5863097,558705,89004,87278,148035,283878,989065,57104,2612,48870,104602,1620772,320454,326826,13046269,154443,719717,6097592,4453861
India,7028,747041,30925,928134,624249,37207,387739,511230,125338517,306997,325448,86496,132816,25103,21195,173359,128134,111,2930,134140,245340,140020,128869,175595,89533,2140184,1832091,3037189
Italy,194278,286744,463107,571253,758650,287394,5360334,5875759,326083,28076971,468842,117183,83721,94810,205697,1929736,28306,1656,105326,124547,1483939,99919,330976,7331233,76908,264090,7971725,3044745
Japan,18989,1009726,60806,403543,9608497,116529,570357,592223,324463,464644,86684849,8607,10291,2697,123672,146254,153621,259,33579,1579544,249836,35833,8649787,287262,6538698,2874151,505680,5177491
Jordan,285,18749,3869,33533,34959,1701,84129,100217,52843,111654,7854,45405,3583,138514,1360,27292,1379,58,151,23505,30237,4066,8481,44856,2492,14373,81850,170331
Kenya,402,20748,1728,35026,79280,5597,55822,81495,116284,102497,10230,3488,2088977,5083,3146,26044,1574,11,309,2467,4557,114185,6779,19736,2281,12832,203891,110594
Lebanon,863,70124,14185,131010,20910,2074,270334,166193,31546,92500,2823,145975,3327,0,2290,35948,395,11,235,16696,22214,5138,2075,65040,269,9903,99293,90759
Mexico,354191,35973,307008,2524931,85758,10189,360327,290333,16881,230995,122778,1495,2645,1947,46083779,110098,6147,19283,357777,4836,50455,6957,63648,605450,3396,8684,591992,14032713
Netherlands,34823,113501,122781,261830,227890,191390,854045,993533,172556,1943857,138075,28679,29513,34713,93389,20573,34027,1348,30137,57787,276595,176567,56953,3413264,80956,168375,4107317,1903560
NewZealand,18879,3091895,17499,86381,452744,4129,55532,59527,118850,26447,152081,1085,1581,428,5615,34766,11932771,21,4665,73799,6295,30871,79143,18401,69531,93136,247489,415469
Nicaragua,868,303,1953,16074,1041,110,2715,3725,153,2581,668,102,17,18,19668,1433,10,196208,3011,14,1771,45,490,23219,100,21,3163,209865
Peru,295590,24538,322372,109903,32873,2217,86123,52663,1785,112268,34628,104,376,137,377090,28909,4303,3601,12500053,1631,4445,6287,10392,297398,1336,1611,56099,842237
Philippines,2174,401288,20387,390336,1734411,11458,104979,106735,119816,133310,1583388,25126,2895,12025,2955,65454,75938,6,1614,26900372,27880,20185,2396870,90195,839857,499485,230737,1149542
Russia,10027,28378,28465,64153,1504348,110923,811032,1611782,221764,1469166,250962,28890,5088,21671,50721,272296,7624,1655,4568,30730,54161904,22746,574280,1081115,35631,943987,430046,490997
SouthAfrica,14991,158334,90451,66582,117184,10410,185999,321567,145916,97724,39047,4865,115140,5456,8113,177556,32635,114,7896,20829,22839,14383766,15341,69632,14012,48244,632027,294849
SouthKorea,7277,313670,27518,252656,8210460,21517,298200,370646,134615,304455,8622294,11312,8492,2083,50899,61225,69103,328,19670,2373212,565539,12689,29692153,263088,2433465,2039577,283614,2621837
Spain,645022,133920,355916,384112,534632,714903,5982307,13034444,166387,7328518,289821,44016,20515,65485,579706,3401045,20110,16988,264613,89601,1101674,65537,309930,35911842,53795,159799,21760955,2516379
Taiwan,2151,252832,6617,144239,5657013,7294,106323,158340,85490,77085,6543352,2704,2254,379,3941,74020,66533,117,1333,854842,32835,12777,2410701,48932,7006228,1240919,113181,1174632
Thailand,7795,790749,26463,129284,9997516,96070,586759,726939,2134734,261084,2874918,15273,11163,12882,8393,171972,88670,8,1231,507944,915827,45279,2026847,153892,1232269,29874214,790875,467573
UnitedKingdom,106759,1059872,259107,1355349,1175565,508896,5799256,6111222,1767825,7912632,490583,82836,203418,96564,552294,4045327,239530,2265,57375,223922,424033,642141,210278,21824539,110272,800892,19657113,8966558
USA,1000172,1741583,2552709,14714959,4561865,154036,3963951,4371147,2876414,2970098,5143398,158711,100597,89257,14388003,1893455,404666,214496,837470,1147673,487840,291844,2583265,2488635,1220686,477039,9057555,595114418
