,Argentina,Australia,Brazil,Canada,China,Finland,France,Germany,India,Italy,Japan,Jordan,Kenya,Mexico,Netherlands,NewZealand,Nicaragua,Philippines,Russia,SouthAfrica,SouthKorea,Spain,Switzerland,Taiwan,UnitedKingdom,USA
Argentina,13368684,41323,1670917,41873,54904,3788,114586,71506,8109,196090,19088,601,545,358143,30628,18103,868,1957,10530,13372,7875,628440,31114,1940,126548,1021465
Australia,39038,57087933,57468,327441,1994188,28049,244537,229959,714491,271605,1007777,13300,19886,33848,124128,3081377,215,385006,27623,154182,347893,134039,87675,256982,1120744,1718365
Brazil,1692752,61220,70911136,199439,127940,11173,448989,298388,30155,476608,76263,2841,1806,329806,115776,17891,1932,21775,27123,95172,34677,378963,132294,6637,299036,2554179
Canada,39998,305642,188690,31802940,1070353,26780,1001890,427880,799685,561822,403914,30872,36395,2496445,257175,86227,15941,368234,65903,66328,240938,378945,175852,165325,1386453,14722639
China,47727,1998652,126314,1088714,563647747,123016,732392,1062578,600188,775881,9723965,33922,74579,94070,228599,456463,917,1807111,1500550,125065,8240734,533785,225792,5575810,1288079,4631039
Finland,4320,25132,10414,25912,120683,1977042,276486,673588,38523,297315,125182,1685,5395,9217,194272,3797,57,10897,107354,9965,27316,718973,143537,7791,513185,152389
France,107567,234396,428117,1036677,777067,275756,21699704,2570934,325892,5333706,609285,83482,52463,337309,859348,59077,2603,110723,774281,192082,287695,6049962,1656977,118307,5799176,4077743
Germany,66724,211381,281057,422308,1012633,673314,2538727,15254539,469399,5863097,558705,89004,87278,283878,989065,57104,2612,104602,1620772,320454,326826,13046269,2503494,154443,6097592,4453861
India,7028,747041,30925,928134,624249,37207,387739,511230,125338517,306997,325448,86496,132816,21195,173359,128134,111,134140,245340,140020,128869,175595,144786,89533,1832091,3037189
Italy,194278,286744,463107,571253,758650,287394,5360334,5875759,326083,28076971,468842,117183,83721,205697,1929736,28306,1656,124547,1483939,99919,330976,7331233,1308724,76908,7971725,3044745
Japan,18989,1009726,60806,403543,9608497,116529,570357,592223,324463,464644,86684849,8607,10291,123672,146254,153621,259,1579544,249836,35833,8649787,287262,130625,6538698,505680,5177491
Jordan,285,18749,3869,33533,34959,1701,84129,100217,52843,111654,7854,45405,3583,1360,27292,1379,58,23505,30237,4066,8481,44856,19426,2492,81850,170331
Kenya,402,20748,1728,35026,79280,5597,55822,81495,116284,102497,10230,3488,2088977,3146,26044,1574,11,2467,4557,114185,6779,19736,25667,2281,203891,110594
Mexico,354191,35973,307008,2524931,85758,10189,360327,290333,16881,230995,122778,1495,2645,46083779,110098,6147,19283,4836,50455,6957,63648,605450,68274,3396,591992,14032713
Netherlands,34823,113501,122781,261830,227890,191390,854045,993533,172556,1943857,138075,28679,29513,93389,20573,34027,1348,57787,276595,176567,56953,3413264,727135,80956,4107317,1903560
NewZealand,18879,3091895,17499,86381,452744,4129,55532,59527,118850,26447,152081,1085,1581,5615,34766,11932771,21,73799,6295,30871,79143,18401,20941,69531,247489,415469
Nicaragua,868,303,1953,16074,1041,110,2715,3725,153,2581,668,102,17,19668,1433,10,196208,14,1771,45,490,23219,1311,100,3163,209865
Philippines,2174,401288,20387,390336,1734411,11458,104979,106735,119816,133310,1583388,25126,2895,2955,65454,75938,6,26900372,27880,20185,2396870,90195,37299,839857,230737,1149542
Russia,10027,28378,28465,64153,1504348,110923,811032,1611782,221764,1469166,250962,28890,5088,50721,272296,7624,1655,30730,54161904,22746,574280,1081115,261856,35631,430046,490997
SouthAfrica,14991,158334,90451,66582,117184,10410,185999,321567,145916,97724,39047,4865,115140,8113,177556,32635,114,20829,22839,14383766,15341,69632,94005,14012,632027,294849
SouthKorea,7277,313670,27518,252656,8210460,21517,298200,370646,134615,304455,8622294,11312,8492,50899,61225,69103,328,2373212,565539,12689,29692153,263088,74395,2433465,283614,2621837
Spain,645022,133920,355916,384112,534632,714903,5982307,13034444,166387,7328518,289821,44016,20515,579706,3401045,20110,16988,89601,1101674,65537,309930,35911842,2754015,53795,21760955,2516379
Switzerland,30224,85402,129959,177830,226379,143153,1669736,2522686,173229,1321684,131635,19805,27159,59573,738622,20837,1060,36201,265925,93562,81245,2740364,94385,39253,3294897,1094871
Taiwan,2151,252832,6617,144239,5657013,7294,106323,158340,85490,77085,6543352,2704,2254,3941,74020,66533,117,854842,32835,12777,2410701,48932,37516,7006228,113181,1174632
UnitedKingdom,106759,1059872,259107,1355349,1175565,508896,5799256,6111222,1767825,7912632,490583,82836,203418,552294,4045327,239530,2265,223922,424033,642141,210278,21824539,3247602,110272,19657113,8966558
USA,1000172,1741583,2552709,14714959,4561865,154036,3963951,4371147,2876414,2970098,5143398,158711,100597,14388003,1893455,404666,214496,1147673,487840,291844,2583265,2488635,1122682,1220686,9057555,595114418
