location	popSize
Argentina	42845500
Australia	23715000
Brazil	203479167
Canada	35807167
China	1402058000
Finland	5458250
France	64138000
Germany	81937000
India	1301410667
Italy	60169167
Japan	127857667
Jordan	8851917
Kenya	47296917
Lebanon	6107167
Mexico	120948000
Netherlands	16900667
NewZealand	4582583
Nicaragua	6184167
Peru	30564000
Philippines	101154000
Russia	144735250
SouthAfrica	54918833
SouthKorea	50521833
Spain	46792417
Taiwan	23499167
Thailand	68479167
UnitedKingdom	65557167
USA	319347000
