# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Nov 30 15:18:38 CET 2022 [seed=1669817914814]
# -beagle_gpu -beagle_order 1 -overwrite -save_every 10000000 -save_state RSV.A.1213.country.cont0.dump.txt RSV.A.1213.country.xml
state	joint	prior	likelihood	country.clock.rate	country.coefficients1	country.coefficients2	country.coefficients3	country.coefficients4	country.coefficients5	country.coefIndicators1	country.coefIndicators2	country.coefIndicators3	country.coefIndicators4	country.coefIndicators5	country.includedPredictors	country.coefficientsTimesIndicators1	country.coefficientsTimesIndicators2	country.coefficientsTimesIndicators3	country.coefficientsTimesIndicators4	country.coefficientsTimesIndicators5	country.branchRates	c_allTransitions[1]
0	-1712.0370672819593	-169.43688953730276	-1542.6001777446565	0.1	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	324.0
10000	-1607.351875502035	-124.28870925170891	-1483.063166250326	0.07402779199602004	1.6785463995871945	2.104984781856979	-0.586884273479708	0.5101647031322353	0.561616570967061	1.0	0.0	1.0	1.0	0.0	3.0	1.6785463995871945	0.0	-0.586884273479708	0.5101647031322353	0.0	0.0	333.0
20000	-1597.8700928694707	-116.74487233369085	-1481.1252205357798	0.07292304422568688	1.6275439816060486	-0.1749562915322108	-0.7163619163832058	0.3988425905810687	0.11887747134018087	1.0	0.0	1.0	1.0	1.0	4.0	1.6275439816060486	-0.0	-0.7163619163832058	0.3988425905810687	0.11887747134018087	0.0	325.0
30000	-1604.7158918351874	-128.15129250880497	-1476.5645993263824	0.07428358756169001	1.767873871991894	-0.5847507480686579	-0.5027519800312135	0.427822488834631	0.39178584438398856	1.0	0.0	1.0	1.0	1.0	4.0	1.767873871991894	-0.0	-0.5027519800312135	0.427822488834631	0.39178584438398856	0.0	326.0
40000	-1616.0322688404779	-142.93086241538455	-1473.1014064250933	0.08308997563885494	1.3933360707270284	2.154428360915604	-0.6010983977063222	0.33643380556798813	1.994891712431812	1.0	0.0	1.0	1.0	0.0	3.0	1.3933360707270284	0.0	-0.6010983977063222	0.33643380556798813	0.0	0.0	339.0
50000	-1614.0806605613366	-140.04320474483137	-1474.0374558165051	0.08183491516548315	1.6038639771499872	1.9377517065652676	-0.6761316129248794	0.3409897654169609	0.27332903266457204	1.0	0.0	1.0	1.0	1.0	4.0	1.6038639771499872	0.0	-0.6761316129248794	0.3409897654169609	0.27332903266457204	0.0	330.0
60000	-1611.4206168855283	-114.71888539795117	-1496.701731487577	0.06732097664583318	1.5462172554775997	-0.9009873870481621	-0.7123141560915224	0.6306168870897622	2.2584279145484305	1.0	0.0	1.0	1.0	0.0	3.0	1.5462172554775997	-0.0	-0.7123141560915224	0.6306168870897622	0.0	0.0	334.0
70000	-1612.8869605137422	-120.68519244387447	-1492.2017680698677	0.07078135133945666	1.7750692882342578	-1.1562830718572663	-0.6440001160538318	0.47828335398220434	0.2598698324203335	1.0	0.0	1.0	1.0	1.0	4.0	1.7750692882342578	-0.0	-0.6440001160538318	0.47828335398220434	0.2598698324203335	0.0	325.0
80000	-1607.24366512989	-139.81982039359886	-1467.4238447362911	0.08302456558500226	1.7063591805748073	-0.861594009140507	-0.6697420116623638	0.44925735542534406	0.19213471418956105	1.0	0.0	1.0	1.0	1.0	4.0	1.7063591805748073	-0.0	-0.6697420116623638	0.44925735542534406	0.19213471418956105	0.0	322.0
90000	-1621.3957703884994	-118.17785023073999	-1503.2179201577594	0.06800741469151261	1.8895594243720213	-1.4721170209789864	-0.7823527159711328	0.5722558897435839	0.14129215769032397	1.0	0.0	1.0	1.0	1.0	4.0	1.8895594243720213	-0.0	-0.7823527159711328	0.5722558897435839	0.14129215769032397	0.0	318.0
