# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Dec 01 10:35:22 CET 2022 [seed=1669887316577]
# -beagle_gpu -beagle_order 1 -overwrite -save_every 10000000 -save_state RSV.AB.country.cont0.dump.txt RSV.AB.country.xml
state	joint	prior	likelihood	country.clock.rate.A	country.clock.rate.B	country.coefficients1	country.coefficients2	country.coefficients3	country.coefficients4	country.coefficients5	country.coefIndicators1	country.coefIndicators2	country.coefIndicators3	country.coefIndicators4	country.coefIndicators5	country.includedPredictors	country.coefficientsTimesIndicators1	country.coefficientsTimesIndicators2	country.coefficientsTimesIndicators3	country.coefficientsTimesIndicators4	country.coefficientsTimesIndicators5	country.branchRates.A	country.branchRates.B	country.treeLikelihood.A	country.treeLikelihood.B
0	-6280.748219696039	-2653.561309787186	-3627.1869099088535	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1826.039637202228	-1801.1472727066252
10000	-3487.1383006924143	-314.859716314045	-3172.2785843783695	0.08058738695669629	0.16676790599732166	1.414930744876131	-0.3795941706854547	-0.5289108100514694	0.6365351714296934	3.985596211442115	1.0	0.0	1.0	1.0	0.0	3.0	1.414930744876131	-0.0	-0.5289108100514694	0.6365351714296934	0.0	0.0	0.0	-1473.465977926081	-1698.8126064522887
20000	-3485.926661073828	-308.9679066553896	-3176.9587544184387	0.0824163135752008	0.1650307169354259	1.4616660066789446	-0.7340708116143367	-0.5468576838912451	0.7123268065025371	0.4153413972319443	1.0	1.0	1.0	1.0	0.0	4.0	1.4616660066789446	-0.7340708116143367	-0.5468576838912451	0.7123268065025371	0.0	0.0	0.0	-1460.302772398475	-1716.6559820199634
30000	-3496.2520861919984	-288.0245979611757	-3208.227488230823	0.08289467320607555	0.13915080009418895	1.4981279793323308	-0.5241385793066765	-0.5259861005047016	0.8265531494786164	0.6404249069173502	1.0	1.0	1.0	1.0	1.0	5.0	1.4981279793323308	-0.5241385793066765	-0.5259861005047016	0.8265531494786164	0.6404249069173502	0.0	0.0	-1463.9960621334453	-1744.2314260973774
40000	-3473.1777210226837	-274.9955534582269	-3198.182167564457	0.07327830576030164	0.13636247232152188	1.467879156065016	-1.5135766464211184	-0.6985370376232514	0.7813123093901923	2.388101576940832	1.0	1.0	1.0	1.0	0.0	4.0	1.467879156065016	-1.5135766464211184	-0.6985370376232514	0.7813123093901923	0.0	0.0	0.0	-1470.6305801684953	-1727.5515873959616
50000	-3471.444075718509	-314.93000110487947	-3156.5140746136294	0.08692100189571642	0.16030326643673432	1.5335029322301605	0.6280994026192495	-0.5797591109145417	0.5642537389107004	0.21073466865236415	1.0	0.0	1.0	1.0	1.0	4.0	1.5335029322301605	0.0	-0.5797591109145417	0.5642537389107004	0.21073466865236415	0.0	0.0	-1453.3604856881936	-1703.1535889254355
60000	-3481.062914000325	-306.75661382215316	-3174.3063001781716	0.08197480202018259	0.16086377678400776	1.3487476580951632	-0.6534175203051393	-0.49373854743902446	0.6479247505900027	-2.427009453825035	1.0	1.0	1.0	1.0	0.0	4.0	1.3487476580951632	-0.6534175203051393	-0.49373854743902446	0.6479247505900027	-0.0	0.0	0.0	-1465.2492137856827	-1709.0570863924888
70000	-3491.5363214459458	-314.412891607192	-3177.123429838754	0.08779877132665946	0.15689825953287198	1.2198888855606536	-0.7423640232674039	-0.47003623390079646	0.4969280048692941	-5.176121646065638	1.0	1.0	1.0	1.0	0.0	4.0	1.2198888855606536	-0.7423640232674039	-0.47003623390079646	0.4969280048692941	-0.0	0.0	0.0	-1462.01409232274	-1715.109337516014
80000	-3474.957182018707	-280.58870210324375	-3194.3684799154635	0.08041642126749123	0.14109061136484144	1.4221521850092296	-0.5323527959887377	-0.5448228876279051	0.6369804615410843	1.2631074680308594	1.0	1.0	1.0	1.0	0.0	4.0	1.4221521850092296	-0.5323527959887377	-0.5448228876279051	0.6369804615410843	0.0	0.0	0.0	-1469.5927673066037	-1724.7757126088595
90000	-3490.6296522396965	-337.7744246904553	-3152.855227549241	0.08321213964811658	0.18182698279575607	1.662043835949123	0.5688740705415204	-0.5379597383184482	0.6497763511101052	0.1329372711767189	1.0	0.0	1.0	1.0	1.0	4.0	1.662043835949123	0.0	-0.5379597383184482	0.6497763511101052	0.1329372711767189	0.0	0.0	-1470.0320848829267	-1682.8231426663142
100000	-3487.9920762447423	-302.47904894871186	-3185.5130272960305	0.0833036262442901	0.15036686891154216	1.291881635110977	-0.4709339647489319	-0.49654976750808	0.4075758684264042	0.4997734391429462	1.0	1.0	1.0	1.0	1.0	5.0	1.291881635110977	-0.4709339647489319	-0.49654976750808	0.4075758684264042	0.4997734391429462	0.0	0.0	-1466.9924000432086	-1718.520627252822
110000	-3489.97963629797	-319.5709295953032	-3170.4087067026667	0.08668897525750964	0.1620427116291799	1.2530742015406384	-0.6152871189304849	-0.49340769559317116	0.6000842650160442	0.06031933574604787	1.0	1.0	1.0	1.0	1.0	5.0	1.2530742015406384	-0.6152871189304849	-0.49340769559317116	0.6000842650160442	0.06031933574604787	0.0	0.0	-1465.7101559063442	-1704.6985507963223
120000	-3485.174868162186	-340.342959353886	-3144.8319088083003	0.0908159581995417	0.18209091641319852	1.5606092016140674	0.1523543805432129	-0.5789061805017958	0.6306140590308434	-1.0014281445582345	1.0	0.0	1.0	1.0	0.0	3.0	1.5606092016140674	0.0	-0.5789061805017958	0.6306140590308434	-0.0	0.0	0.0	-1451.8161411354326	-1693.0157676728677
130000	-3493.7886876747193	-301.5195185579318	-3192.2691691167875	0.08617492298756026	0.15101775082657404	1.6869716148733143	-0.10585775351948508	-0.5731228124907035	0.7682920549264811	0.322533406330212	1.0	0.0	1.0	1.0	1.0	4.0	1.6869716148733143	-0.0	-0.5731228124907035	0.7682920549264811	0.322533406330212	0.0	0.0	-1464.6460897396228	-1727.6230793771645
140000	-3485.4334048738738	-315.6144399913721	-3169.818964882502	0.09022071253536314	0.15518983751890014	1.5128243747241439	3.416415295265749	-0.5794649528979501	0.6407803133793295	-0.21447618263715804	1.0	0.0	1.0	1.0	0.0	3.0	1.5128243747241439	0.0	-0.5794649528979501	0.6407803133793295	-0.0	0.0	0.0	-1458.198357853478	-1711.6206070290236
150000	-3487.528073672746	-327.4904828466444	-3160.0375908261017	0.08870219252244284	0.16985322961233731	1.7808049709079834	-3.6355724165328387	-0.5002734199417114	0.5862879286613807	0.3610781693354614	1.0	0.0	1.0	1.0	1.0	4.0	1.7808049709079834	-0.0	-0.5002734199417114	0.5862879286613807	0.3610781693354614	0.0	0.0	-1451.5756502100724	-1708.4619406160293
160000	-3491.0303767835253	-342.98172660620247	-3148.048650177323	0.09157304623599422	0.16892123022711253	1.6327900602196312	2.734990581560939	-0.5118726361439455	0.6163574888970935	0.2393940369995896	1.0	0.0	1.0	1.0	1.0	4.0	1.6327900602196312	0.0	-0.5118726361439455	0.6163574888970935	0.2393940369995896	0.0	0.0	-1455.9014583831813	-1692.1471917941417
170000	-3483.57632950381	-326.46237559835447	-3157.1139539054557	0.08812314361880327	0.1683745844546253	1.5570280778051853	2.1760152467001315	-0.5513614589576952	0.6710295497814643	-0.5421198229800058	1.0	0.0	1.0	1.0	0.0	3.0	1.5570280778051853	0.0	-0.5513614589576952	0.6710295497814643	-0.0	0.0	0.0	-1455.9861498808384	-1701.127804024617
180000	-3493.692667271168	-331.7264603333272	-3161.9662069378405	0.08038810079440924	0.18683830417702194	1.3914264841566029	-0.5270538150111581	-0.5667723793410343	0.6595204030754955	-1.8129472663386397	1.0	0.0	1.0	1.0	0.0	3.0	1.3914264841566029	-0.0	-0.5667723793410343	0.6595204030754955	-0.0	0.0	0.0	-1478.823299559142	-1683.1429073786985
190000	-3468.210145075737	-315.0043819595088	-3153.205763116228	0.08370589529473255	0.163306054264808	1.3100240280567979	-0.634939741024901	-0.44875004216304165	0.4482369759864461	0.19977713964881433	1.0	1.0	1.0	1.0	1.0	5.0	1.3100240280567979	-0.634939741024901	-0.44875004216304165	0.4482369759864461	0.19977713964881433	0.0	0.0	-1454.0497739682976	-1699.1559891479305
200000	-3479.354294750137	-307.1381377191241	-3172.2161570310127	0.08360903953783133	0.15928901102302054	1.407449619760321	-0.49849492519205074	-0.6006053060643505	0.644138337836506	-2.8611392001978766	1.0	1.0	1.0	1.0	0.0	4.0	1.407449619760321	-0.49849492519205074	-0.6006053060643505	0.644138337836506	-0.0	0.0	0.0	-1459.7088806308093	-1712.5072764002036
210000	-3460.1535089446215	-310.9466609563335	-3149.2068479882882	0.0855846236708589	0.15272807240671205	1.7856621539156867	-0.553306472692953	-0.578699538034027	0.7988170296431558	0.13792211702181564	1.0	0.0	1.0	1.0	1.0	4.0	1.7856621539156867	-0.0	-0.578699538034027	0.7988170296431558	0.13792211702181564	0.0	0.0	-1451.9323560235339	-1697.2744919647544
220000	-3497.7418764259173	-323.530829591591	-3174.211046834326	0.09162714733695107	0.1643957775924433	1.4837196211918715	-0.6098817018157034	-0.6085036317649835	0.542455965460952	0.22878426378857358	1.0	1.0	1.0	1.0	1.0	5.0	1.4837196211918715	-0.6098817018157034	-0.6085036317649835	0.542455965460952	0.22878426378857358	0.0	0.0	-1450.860406841121	-1723.3506399932055
230000	-3489.177775774044	-321.5281653964617	-3167.6496103775826	0.08769569430355208	0.17244095983403357	1.5193966678512336	2.2823300129714994	-0.5586754007092075	0.7790073528186463	0.44573695063543317	1.0	0.0	1.0	1.0	0.0	3.0	1.5193966678512336	0.0	-0.5586754007092075	0.7790073528186463	0.0	0.0	0.0	-1472.7296784135121	-1694.9199319640707
240000	-3474.3567901512997	-314.44437168910576	-3159.912418462194	0.09093944091754773	0.1535347759565299	1.5269812622417027	0.4550940652930159	-0.576019740347549	0.6439627447405569	0.2853154649092672	1.0	0.0	1.0	1.0	1.0	4.0	1.5269812622417027	0.0	-0.576019740347549	0.6439627447405569	0.2853154649092672	0.0	0.0	-1453.5892163206108	-1706.3232021415834
250000	-3491.8924914533022	-308.6746476719649	-3183.2178437813373	0.09060733260496082	0.1554564151127004	1.3753493503814214	-2.4585276551009283	-0.5406991245845866	0.6011467025489962	-0.7753729931882277	1.0	0.0	1.0	1.0	0.0	3.0	1.3753493503814214	-0.0	-0.5406991245845866	0.6011467025489962	-0.0	0.0	0.0	-1455.8209936746418	-1727.3968501066956
260000	-3474.757092608713	-308.96501696127984	-3165.792075647433	0.07958745498244928	0.16873692300835455	1.5265566235355508	-0.02823350642303467	-0.5533169364399398	0.6380523043588348	-2.191528872929309	1.0	1.0	1.0	1.0	0.0	4.0	1.5265566235355508	-0.02823350642303467	-0.5533169364399398	0.6380523043588348	-0.0	0.0	0.0	-1471.3074491539567	-1694.4846264934765
270000	-3477.353809214935	-289.38711435796495	-3187.96669485697	0.0830950743160828	0.14348467075365173	1.389248031077803	-1.4790328490641875	-0.6396417210215504	0.6552681998906995	2.181087441155865	1.0	1.0	1.0	1.0	0.0	4.0	1.389248031077803	-1.4790328490641875	-0.6396417210215504	0.6552681998906995	0.0	0.0	0.0	-1464.1428399862684	-1723.8238548707018
280000	-3484.6134905576687	-321.96624196900797	-3162.6472485886607	0.08484982127106887	0.1668337430175307	1.670998592587789	4.6221561400988715	-0.5368084394003887	0.711121689292187	0.20878785941887287	1.0	0.0	1.0	1.0	1.0	4.0	1.670998592587789	0.0	-0.5368084394003887	0.711121689292187	0.20878785941887287	0.0	0.0	-1468.3781890399857	-1694.2690595486747
290000	-3489.540787700834	-289.2839421209617	-3200.256845579872	0.08150044428655732	0.14594510115190915	1.3496842319865887	-0.7751843516083823	-0.5185289841066136	0.58102112359831	-2.7107673092624838	1.0	1.0	1.0	1.0	0.0	4.0	1.3496842319865887	-0.7751843516083823	-0.5185289841066136	0.58102112359831	-0.0	0.0	0.0	-1462.530839725736	-1737.7260058541358
300000	-3481.155875116773	-317.1689758876727	-3163.9868992291003	0.10061467338060273	0.1429950235405508	1.7124995810464245	4.67127098139123	-0.5923369559569803	0.8469967969505946	2.4539588218370896	1.0	0.0	1.0	1.0	0.0	3.0	1.7124995810464245	0.0	-0.5923369559569803	0.8469967969505946	0.0	0.0	0.0	-1441.0795424214812	-1722.9073568076194
310000	-3488.0499456864554	-337.1412547960915	-3150.9086908903637	0.09542738161997921	0.17116096167563172	1.4836180602272957	3.96316031158175	-0.5757938190266805	0.6004271692163113	-1.0420863063850903	1.0	0.0	1.0	1.0	0.0	3.0	1.4836180602272957	0.0	-0.5757938190266805	0.6004271692163113	-0.0	0.0	0.0	-1454.6719791118878	-1696.2367117784756
320000	-3487.8526131344406	-310.52628470797356	-3177.326328426467	0.08682144155084073	0.15758685550398494	1.3825605721412948	2.9814596799312802	-0.4385869299941144	0.515598337373349	0.1601996037674731	1.0	0.0	1.0	1.0	1.0	4.0	1.3825605721412948	0.0	-0.4385869299941144	0.515598337373349	0.1601996037674731	0.0	0.0	-1471.3607313708133	-1705.965597055654
330000	-3494.2058939001345	-347.221726263434	-3146.9841676367005	0.08690127431853868	0.18428006980212056	1.6579600503628562	-1.0339901013920896	-0.4822686438817846	0.662822464482177	0.15750108527825768	1.0	0.0	1.0	1.0	1.0	4.0	1.6579600503628562	-0.0	-0.4822686438817846	0.662822464482177	0.15750108527825768	0.0	0.0	-1461.2022868717727	-1685.7818807649278
340000	-3474.4135365643174	-317.7146229664364	-3156.698913597881	0.08172126631172573	0.17129201614318226	1.6699724789375665	-0.15327391438097648	-0.555878584435709	0.7628748960574103	2.957953421285034	1.0	1.0	1.0	1.0	0.0	4.0	1.6699724789375665	-0.15327391438097648	-0.555878584435709	0.7628748960574103	0.0	0.0	0.0	-1465.4020978266124	-1691.2968157712687
350000	-3491.4050383053723	-287.27935807161464	-3204.1256802337575	0.08302979576255917	0.13876655909331423	1.4429967222201772	-0.5318616205204997	-0.46319864731960225	0.6097703397890459	0.16977216874145606	1.0	1.0	1.0	1.0	1.0	5.0	1.4429967222201772	-0.5318616205204997	-0.46319864731960225	0.6097703397890459	0.16977216874145606	0.0	0.0	-1464.9655451559802	-1739.160135077777
360000	-3487.7759137466596	-333.85047694493136	-3153.925436801728	0.10006306082965627	0.16124554128798987	1.5112854645679912	-3.47270969543674	-0.5465988052378304	0.7074954372853508	0.4492673421312809	1.0	0.0	1.0	1.0	0.0	3.0	1.5112854645679912	-0.0	-0.5465988052378304	0.7074954372853508	0.0	0.0	0.0	-1447.6772829466984	-1706.2481538550298
370000	-3490.8677422776764	-319.31281790620136	-3171.554924371475	0.08296978139368656	0.17219454314389046	1.283142563885983	-0.7479972500504865	-0.5632066698310317	0.6532007947747914	-3.075893949968179	1.0	0.0	1.0	1.0	0.0	3.0	1.283142563885983	-0.0	-0.5632066698310317	0.6532007947747914	-0.0	0.0	0.0	-1476.431201640914	-1695.1237227305612
