;Argentina;Australia;Brazil;Canada;China;Finland;France;Germany;India;Italy;Japan;Jordan;Kenya;Mexico;Netherlands;NewZealand;Nicaragua;Philippines;Russia;SouthAfrica;SouthKorea;Spain;Switzerland;Taiwan;UnitedKingdom;USA
Argentina;0;13,141699;24,181093;94,546463;74,277757;100,340207;84,643735;89,581788;59,009781;80,288037;74,620921;69,001261;38,392538;62,050598;90,54873;2,48446;51,281513;51,295818;99,940107;7,856615;74,323854;78,879764;85,234285;62,113907;93,794148;75,506337
Australia;13,141699;0;11,039394;81,404764;61,136058;87,198508;71,502036;76,440089;45,868082;67,146338;61,479222;55,859562;25,250839;48,908899;77,407031;15,626159;38,139814;38,154119;86,798408;5,285084;61,182155;65,738065;72,092586;48,972208;80,652449;62,364638
Brazil;24,181093;11,039394;0;70,36537;50,096664;76,159114;60,462642;65,400695;34,828688;56,106944;50,439828;44,820168;14,211445;37,869505;66,367637;26,665553;27,10042;27,114725;75,759014;16,324478;50,142761;54,698671;61,053192;37,932814;69,613055;51,325244
Canada;94,546463;81,404764;70,36537;0;20,268706;5,793744;9,902728;4,964675;35,536682;14,258426;19,925542;25,545202;56,153925;32,495865;3,997733;97,030923;43,26495;43,250645;5,39364399999999;86,689848;20,222609;15,666699;9,312178;32,432556;0,752315000000003;19,040126
China;74,277757;61,136058;50,096664;20,268706;0;26,06245;10,365978;15,304031;15,267976;6,01028;0,343164000000002;5,276496;35,885219;12,227159;16,270973;76,762217;22,996244;22,981939;25,66235;66,421142;0,0460969999999961;4,602007;10,956528;12,16385;19,516391;1,22858
Finland;100,340207;87,198508;76,159114;5,793744;26,06245;0;15,696472;10,758419;41,330426;20,05217;25,719286;31,338946;61,947669;38,289609;9,791477;102,824667;49,058694;49,044389;0,400100000000002;92,483592;26,016353;21,460443;15,105922;38,2263;6,546059;24,83387
France;84,643735;71,502036;60,462642;9,902728;10,365978;15,696472;0;4,938053;25,633954;4,355698;10,022814;15,642474;46,251197;22,593137;5,904995;87,128195;33,362222;33,347917;15,296372;76,78712;10,319881;5,763971;0,59055;22,529828;9,150413;9,137398
Germany;89,581788;76,440089;65,400695;4,964675;15,304031;10,758419;4,938053;0;30,572007;9,293751;14,960867;20,580527;51,18925;27,53119;0,966941999999996;92,066248;38,300275;38,28597;10,358319;81,725173;15,257934;10,702024;4,347503;27,467881;4,21236;14,075451
India;59,009781;45,868082;34,828688;35,536682;15,267976;41,330426;25,633954;30,572007;0;21,278256;15,61114;9,99148;20,617243;3,040817;31,538949;61,494241;7,728268;7,713963;40,930326;51,153166;15,314073;19,869983;26,224504;3,104126;34,784367;16,496556
Italy;80,288037;67,146338;56,106944;14,258426;6,01028;20,05217;4,355698;9,293751;21,278256;0;5,667116;11,286776;41,895499;18,237439;10,260693;82,772497;29,006524;28,992219;19,65207;72,431422;5,96418300000001;1,408273;4,946248;18,17413;13,506111;4,7817
Japan;74,620921;61,479222;50,439828;19,925542;0,343164000000002;25,719286;10,022814;14,960867;15,61114;5,667116;0;5,61966;36,228383;12,570323;15,927809;77,105381;23,339408;23,325103;25,319186;66,764306;0,297067000000006;4,258843;10,613364;12,507014;19,173227;0,885415999999999
Jordan;69,001261;55,859562;44,820168;25,545202;5,276496;31,338946;15,642474;20,580527;9,99148;11,286776;5,61966;0;30,608723;6,950663;21,547469;71,485721;17,719748;17,705443;30,938846;61,144646;5,322593;9,878503;16,233024;6,887354;24,792887;6,505076
Kenya;38,392538;25,250839;14,211445;56,153925;35,885219;61,947669;46,251197;51,18925;20,617243;41,895499;36,228383;30,608723;0;23,65806;52,156192;40,876998;12,888975;12,90328;61,547569;30,535923;35,931316;40,487226;46,841747;23,721369;55,40161;37,113799
