location	lat	long
Kenya	-0.023559	37.906193
SouthAfrica	-30.559482	22.937506
China	35.86166	104.195397
India	20.593684	78.96288
Japan	36.204824	138.252924
Jordan	30.585164	36.238414
Lebanon	33.854721	35.862285
Philippines	12.879721	121.774017
SouthKorea	35.907757	127.766922
Taiwan	23.69781	120.960515
Thailand	5.870032	100.992541
Finland	61.92411	25.748151
France	46.227638	2.213749
Germany	51.165691	10.451526
Italy	41.87194	12.56738
Netherlands	52.132633	5.291266
Russia	61.52401	105.318756
Spain	40.463667	-3.74922
UnitedKingdom	55.378051	-3.435973
Canada	56.130366	-106.346771
Mexico	23.634501	-102.552784
Nicaragua	12.865416	-85.207229
USA	37.09024	-95.712891
Australia	-25.274398	133.775136
NewZealand	-40.900557	174.885971
Argentina	-38.416097	-63.616672
Brazil	14.235004	-51.92528
Peru	-9.189967	-75.015152
