location	lat	long
Argentina	-38.416097	-63.616672
Australia	-25.274398	133.775136
Brazil	14.235004	-51.92528
Canada	56.130366	-106.346771
China	35.86166	104.195397
Finland	61.92411	25.748151
France	46.227638	2.213749
Germany	51.165691	10.451526
India	20.593684	78.96288
Italy	41.87194	12.56738
Japan	36.204824	138.252924
Jordan	30.585164	36.238414
Kenya	-0.023559	37.906193
Mexico	23.634501	-102.552784
Netherlands	52.132633	5.291266
NewZealand	-40.900557	174.885971
Nicaragua	12.865416	-85.207229
Philippines	12.879721	121.774017
Russia	61.52401	105.318756
SouthAfrica	-30.559482	22.937506
SouthKorea	35.907757	127.766922
Spain	40.463667	-3.74922
Switzerland	46.818188	8.227512
Taiwan	23.69781	120.960515
USA	37.09024	-95.712891
UnitedKingdom	55.378051	-3.435973
